date,rolling_sharpe_net_63d,rolling_sharpe_gross_63d
2025-01-14,0.13221634858425213,1.4282941471684505
2025-01-15,0.4506167251699325,1.7453178318337503
2025-01-16,0.4678645488704973,1.7638173651845301
2025-01-17,0.2798279250892152,1.6034737437478834
2025-01-20,0.3569442852890007,1.66056581754625
2025-01-21,0.5452253225606658,1.8381548334804916
2025-01-22,1.2179937752340058,2.520786757347811
2025-01-23,2.1445085258931864,3.3487214311599955
2025-01-24,2.751450370283383,3.913364974339955
2025-01-27,3.4986320561596376,4.696296084458759
2025-01-28,4.752706857076203,5.984129739428652
2025-01-29,4.946812250314696,6.185685538016301
2025-01-30,5.77330000073393,7.052922830133214
2025-01-31,6.928638347174118,8.253550378200227
2025-02-03,6.314316499524529,7.63910191068763
2025-02-04,6.492280919360811,7.7470170853655596
2025-02-05,7.000692832551193,8.259766407635288
2025-02-06,6.918674239190852,8.180364952593125
2025-02-07,6.9244364759488715,8.186466761285098
2025-02-10,6.98762990926987,8.243734424889826
2025-02-11,7.047534033354812,8.30159133091943
2025-02-12,7.545708228669328,8.81461541060573
2025-02-13,7.48456207380675,8.740291420043432
2025-02-14,7.673425897058203,8.926524955008201
2025-02-17,8.128392311377421,9.380054913663844
2025-02-18,8.380400198964576,9.622399291710973
2025-02-19,8.058818701601671,9.30694689340671
2025-02-20,7.666104898594984,8.893053042257447
2025-02-21,7.909535142592036,9.136657470893041
2025-02-24,7.544052913169171,8.755239060189966
2025-02-25,7.141922316206918,8.36113812746167
2025-02-26,6.762547648177125,7.981666754970535
2025-02-27,6.386606849802586,7.590419896930471
2025-02-28,6.460967467845645,7.665728397183558
2025-03-03,6.47393726308849,7.682857301971812
2025-03-04,6.091659631957441,7.283417777325684
2025-03-05,6.820929874851802,8.023808436691418
2025-03-06,6.714951553019907,7.966101930558409
2025-03-07,6.854365708307454,8.075601780472008
2025-03-10,7.008850999649935,8.184562346806354
2025-03-11,6.759000127634914,7.939651091131296
2025-03-12,7.020039383090082,8.20817845251043
2025-03-13,6.923913528354168,8.110769037570224
2025-03-14,6.960861070173239,8.147387573848038
2025-03-17,7.360929737806744,8.550437796461987
2025-03-18,7.772937824675608,8.962769743439491
2025-03-19,7.303002846643102,8.444360342540165
2025-03-20,7.175055078211461,8.290201262960965
2025-03-21,6.685910278387169,7.777612611810427
2025-03-24,6.3566930028013235,7.462182332432606
2025-03-25,6.311305321036803,7.408847436271446
2025-03-26,6.282551106220484,7.377966736195992
2025-03-27,6.261539265023509,7.35682480110849
2025-03-28,5.583273623796255,6.671661711002795
2025-03-31,5.515125551463873,6.626887943337112
2025-04-01,5.84416165776618,6.934897050544036
2025-04-02,6.302200470895428,7.366629618818572
2025-04-03,6.470579957132958,7.532526740703814
2025-04-04,7.089023434349569,8.076379128276436
2025-04-07,7.516903773275627,8.519659696156143
2025-04-08,7.742960836154742,8.768674770846062
2025-04-09,6.36277460977332,7.314443230029786
